Acesulfame Potassium,Halal
Acetic acid,Halal
Acetone,Halal
Acid Casein,Haram
Adenosine Monophosphate,Haram
Agar,Halal
Albumin,Halal
Alcohol,Haram
Alginic Acid or Algin,Halal
Allspice,Halal
Alum,Halal
Aluminum Ammonium Sulfate,Halal
Ammonium Bicarbonate,Halal
Ammonium Carbonate,Halal
Ammonium Chloride,Halal
Ammonium Sulfate,Halal
Amylase (alpha),Halal
Amylase (beta),Halal
Anise,Halal
Aniseed,Halal
Annatto ,Halal
Apple Cider Vinegar,Halal
Arrowroot ,Halal
Artificial Colors,Haram
FD&C Yellow No. 5,Haram
Artificial Flavors,Haram
Ascorbic Acid,Halal
Aspartame,Haram
Azodicarbonamide,Halal
Bacon,Haram
Bakers Yeast,Halal
Bakers Yeast Extract,Halal
Baking Powder,Halal
Baking Soda,Halal
Balsamic Vinegar,Haram
Basil,Halal
Bay Leaves,Halal
Beer,Haram
Beer Batters,Haram
Beer Flavor,Haram
Beeswax,Halal
Behenyl Alcohol,Haram
Docosanol,Haram
Benzaldehyde,Halal
Benzoic acid,Halal
Beta-Carotene,Haram
BHA,Haram
BHT,Haram
Bran,Halal
Brewers Yeast Extract,Haram
Bulgur wheat,Halal
Butter fat Lipolyzed,Haram
Buttermilk Solids,Haram
Milk Solids,Haram
Caffeine,Halal
Calcium Carbonate,Halal
Calcium Chloride,Halal
Calcium Citrate,Halal
Calcium Propionate,Halal
Calcium Sorbate,Halal
Calcium Stearate,Haram
Calcium Stearoyl Lactylate,Haram
Calcium Sulfate,Halal
Canola or Canola Oil,Halal
Caramel,Halal
Caraway,Halal
Carboxymethyl cellulose,Halal
Cardamom,Halal
Carmine color,Haram
Carnauba Wax,Halal
Carob,Halal
Carob Powder,Halal
Carob Gum,Halal
Carrageenan,Haram
Carrot Oleoresin,Halal
Carrot Seed Oil,Halal
Caseinates,Haram
Cetyl Alcohol,Haram
Cheese Powder,Haram
Chicory Root or Root Chicory,Halal
Chives,Halal
Chlorine,Halal
Chocolate Liquour,Halal
Cocoa Liqour,Halal
Cinnamon,Halal
Citric Acid,Halal
Citrus Oil,Halal
Clove,Halal
Cochineal Color,Haram
Cocoa Butter,Halal
Cocoa Powder,Halal
Coconut,Halal
Confectionary Glaze,Haram
Coriander,Halal
Corn,Halal
Corn Bran,Halal
Corn Flour or Cornmeal,Halal
Corn Gluten Meal or Corn Protein,Halal
Corn Meal,Halal
Corn Oil,Halal
Corn Starch,Halal
Corn Syrup,Halal
Corn Syrup Solids,Halal
Cranberry,Halal
Cream,Halal
Cream of Tarter,Halal
Cultured Corn Syrup Solid,Halal
Cultured Cream Lipolyzed,Haram
Cultured Milk,Haram
Cultured Wheat Flour,Halal
Cumin,Halal
Curry Powder,Halal
Cytidene 5 Monophosphate,Haram
DATEM,Haram
Di- Acetyl Tartrate Ester of Monoglycerides,Haram
Dextrin,Halal
Dextrose,Halal
Dicalcium Phosphate,Halal
Diglyceride,Haram
Dill,Halal
Dipotassium Phosphate,Halal
Disodium Guanosine 5 Monophosphate,Haram
Disodium Guanylate,Halal
Disodium Inosinate,Haram
Disodium Uridine 5 Monophosphate,Haram
Dried Milk,Haram
Durum Flour,Halal
EDTA,Halal
Eggs,Halal
Enzyme Modified Lecithin,Haram
Enzyme Modified Soya Lecithin,Haram
Enzymes used in Bakery Products,Halal
Enzymes used in Cheeses or Dairy Products,Haram
Erythorbic Acid,Halal
Erythritol,Haram
Ethoxylated Mono- and Diglycerides,Haram
Ethyl Alcohol or Ethanol,Haram
Ethylvanillin,Halal
Farina,Halal
Fennel,Halal
Fenugreek,Halal
Fermented Cider,Haram
Ferric Oxide,Halal
Ferrous Sulphate,Halal
Fish Gelatin,Halal
Flour,Halal
Bleached Flour,Halal
Refined Flour,Halal
Enriched Flour,Halal
Folic Acid,Haram
Fructose,Halal
Fumaric Acid,Halal
Garlic,Halal
Gelatin,Haram
Gellan Gum,Halal
Ghatti Gum,Halal
Ginger,Halal
Glucono Delta-Lactone,Halal
Gluten,Halal
Glycerin,Haram
Glycerol Ester,Haram
Glycerol Monostearate,Haram
Graham Flour,Halal
Grape,Halal
Grape Seed Extract,Haram
Grape Seed Oil,Haram
Grape Skin Powder,Haram
Guar Gum,Halal
Ham,Haram
Hard Cider,Haram
High Fructose Corn Syrup,Halal
Honey,Halal
Horseradish,Halal
Hydrogenated Starch Hydrolysates,Halal
Hydrogenated Vegetable Oil,Halal
Hydrolyzed Vegetable Protein,Halal
Hydroxylated Lecithin,Haram
Inosito 5 Monophosphate,Haram
Inulin,Halal
Invert Sugar,Halal
Iron,Halal
Isomalt,Halal
Isopropyl Alcohol,Halal
Isoproponal Alcohol,Halal
Karaya Gum,Halal
Kelp,Halal
Lactic Acid,Halal
Lactitol,Halal
Lactose,Haram
Lanolin,Halal
Lanolin Alcohol,Halal
Lard,Haram
L-Cysteine,Haram
Lecithin,Halal
Licorice Root,Halal
Locust Bean Gum,Halal
Mace,Halal
Magnesium Carbonate,Halal
Magnesium Stearate,Haram
Maize,Halal
Malt,Halal
Maltitol,Halal
Maltodextrin,Halal
Maltose,Halal
Mannitol,Halal
Maple Sugar,Halal
Maple Syrup,Halal
Margarine,Haram
Marjoram,Halal
Marshmallow,Haram
Methylcellulose,Halal
Microbial Enzymes,Halal
Rennet Microbial Enzymes,Halal
Lypase Microbial Enzymes,Halal
Modified Food Starch,Halal
Modified Starch,Halal
Molasses,Halal
Monocalcium Phosphate,Halal
Monoglycerides and Diglycerides,Haram
Monosodium Glutamate,Halal
Mustard,Halal
Mustard Seed,Halal
Mustard Oil,Halal
Natural Flavors,Haram
Natural Hickory Smoke Flavor,Halal
Niacin,Haram
Vitamin B3,Haram
Nonfat Dry Milk,Haram
Nucleotides,Haram
Nutmeg,Halal
Oat Flour,Halal
Oatmeal,Halal
Olive Oil,Halal
Olive Pomace Oil,Halal
Onion,Halal
Palm Oil,Halal
Papain,Halal
Paprika,Halal
Parsley,Halal
Partially Hydrogenated Vegetable Shortening,Halal
Peanut,Halal
Pectin,Haram
Peppers,Halal
Phenylethanol,Halal
Phosphates,Halal
Phosphoric Acid,Halal
Polydextrose,Halal
Polyglycerol Esters of Fatty Acids,Haram
Polyoxythylene Sorbitan Monostearate,Haram
Polysorbate 60,Haram
Polysorbate 65,Haram
Polysorbate 80,Haram
Polyvinyl Alcohol,Halal
Pork,Haram
Aqua,Halal
Antipersipirant,Halal
Essential oils,Halal
Hops,Halal
Water Soap,Halal
Cyclomethicone,Halal
Triethanolmaine,Halal
Dlethonalamine,Halal
Potassium Bicarbonate,Halal
Potassium Bromate,Halal
Potassium Sorbate,Halal
Potato Starch,Halal
Pregelatinized Starch,Halal
Propionic Acid,Halal
Propyle Gallate,Halal
Propylene Glycol,Halal
Propylene Glycol Monostearate,Haram
Protease Enzyme,Halal
Psyllium,Halal
Pure 100% Vanilla Beans,Halal
Rainbow Sprinkles,Haram
Raisin,Halal
Rapeseed,Halal
Rennet,Haram
Rennet Casein,Haram
Riboflavin,Haram
Rice,Halal
Rosemary Extract,Haram
Rum,Haram
Rye,Halal
Saccharine,Halal
Safflower,Halal
Saffron,Halal
Sage,Halal
Salt,Halal
Savory,Halal
Sea Salt,Halal
Semolina,Halal
Semolina,Halal
Durum Wheat Flour,Halal
Sesame,Halal
Shallot,Halal
Shellac,Haram
Sherry Wine,Haram
Silicon Dioxide,Halal
Sodium Acetate,Halal
Sodium Acid Pyrophosphate,Halal
Sodium Aluminum Phosphate,Halal
Sodium Aluminum Sulfate,Halal
Sodium Benzoate,Halal
Sodium Bicarbonate,Halal
Sodium Carbonate,Halal
Sodium Citrate,Halal
Sodium Erythorbate,Halal
Sodium Hydroxide,Halal
Sodium Lactate,Halal
Sodium Lauryl Sulfate,Haram
Sodium Metabisulfate,Halal
Sodium Nitrate,Halal
Sodium Nitrite,Halal
Sodium Sorbate,Halal
Sodium Stearoyl Lactylate,Haram
Softener,Haram
Sorbic Acid,Halal
Sorbitan Monostearate,Haram
Sorbitol,Halal
Sovent Extracted Modified Lecithin,Haram
Soy Protein Concentrate,Haram
Soy Protein Isolate,Halal
Soy Sauce,Halal
Soya Flour,Halal
Soya Lecithin,Halal
Soya Oil,Halal
Soya Sauce,Haram
Soybean,Halal
Soybean Oil,Halal
Spices,Halal
Starch,Halal
Stevia,Haram
Sucralose,Halal
Sugar,Halal
Sunflower,Halal
Surimi,Haram
Sushi,Haram
Tapioca Starch,Halal
Tartaric acid,Halal
Taurine,Haram
TBHQ,Haram
Teriyaki,Haram
Teriyaki Suace,Haram
Textured Vegetable Protein,Halal
Thiamine Mononitrate,Haram
Titanium Dioxide,Halal
Tocopherol or Vitamin E,Haram
Tofu,Halal
Tragacanth,Halal
Tricalcium phosphate,Halal
Turmeric,Haram
Turmeric Extract,Haram
Turola Yeast,Haram
Vanilla Bean Powder,Haram
Vanilla Bean Specks,Haram
Vanilla Beans or Vanilla Beans Speck,Haram
Vanilla Extract,Haram
Vanillin,Halal
Vegetable Oils,Halal
Vinegar,Halal
Vital Wheat Gluten,Halal
Vitamin A,Haram
Retinol ,Haram
Vitamin B1,Haram
Thiamine,Haram
Vitamin B12,Haram
Cyanocobalamin,Haram
Vitamin B5,Haram
Pantotherric Acid,Haram
Vitamin B6,Haram
Pyridoxine ,Haram
Ascorbic Acid,Halal
Calciferol,Haram
Tocopherol,Haram
Vitamin K,Haram
Wheat,Halal
Wheat Flour,Halal
Whey,Haram
Whey Protein Concentrate,Haram
Wine,Haram
Wine Vinagar,Haram
Worcestershire Sauce,Haram
Xanthan Gum,Halal
Xylitol,Halal
Yeast Extract from Brewer Yeast,Haram
Zein,Halal
Potato,Halal
Edible Vegetable Oil,Halal
Tomato Powder,Halal
Red Pepper Powder,Halal
Black Pepper Powder,Halal
Garlic Powder,Halal
Ginger,Halal
Clove Powder,Halal
Cinnamon Powder,Halal
Hazelnuts,Halal
Cows Milk,Halal
Skimmed Cow,Halal
Curcumin/Turmeric,Halal
Riboflavin (Vitamin B2),Haram
Riboflavin-5'-phosphate,Halal
Tartrazine,Halal
Chrysoine Resorcinol,Halal
Quinoline Yellow,Halal
Fast Yellow AB,Halal
Riboflavin-5-sodium Phosphate,Halal
Yellow 2G,Halal
Sunset Yellow FCF / Orange Yellow S,Halal
Orange GGN,Halal
Cochineal,Haram
Carminic Acid,Haram
Carmoisine / Azorubine,Halal
Amaranth,Halal
Ponceau 4R / Cochineal Red A,Halal
Ponceau SX,Halal
Ponceau 6R,Halal
Erythrosine BS,Halal
Red 2G,Halal
Allura Red AC,Halal
Indanthrene Blue RS,Halal
Patent Blue V,Halal
Indigo Carmine / Idigotine,Halal
Brilliant Blue FCF,Halal
Chlorophyll,Halal
Copper Complex of Chlorophyll,Halal
Green S / Acid Brilliant Green BS,Halal
Fast Green FCF,Halal
Caramel Color/with chemicals,Halal
Plain caramel,Halal
Caustic sulphite caramel,Halal
Ammonia caramel,Halal
Sulphite ammonia caramel,Halal
Black PN / Brilliant Black BN,Halal
Carbon black (hydrocarbon),Halal
Carbon Black / Vegetable Carbon (Charcoal),Haram
Brown FK,Halal
Brown HT,Halal
"Alpha, Beta, Gamma",Halal
Annatto,Haram
Bixin,Haram
Norbixin,Haram
Capsanthin / Capsorbin,Halal
Lycopene,Halal
Beta-apo-8-carotenal,Halal
Ethyl ester of Beta-apo- 8-cartonoic acid,Halal
Flavoxanthin,Halal
Lutein,Halal
Cryptoxanthin,Halal
Rubixanthin,Halal
Violaxanthin,Halal
Rhodoxanthin,Halal
Canthaxanthin,Haram
Zeaxanthin,Halal
Citranaxanthin,Halal
Astaxanthin,Halal
Beetroot Red,Halal
Betanin,Halal
Anthocyanins,Halal
Calcium Carbonate,Halal
Titanium Dioxide,Halal
Iron Oxides and Hydroxides,Halal
Aluminium,Halal
Silver,Halal
Gold,Halal
Pigment Rubine / Lithol Rubine BK,Halal
Tannin,Halal
Sorbic Acid,Halal
Soduim Sorbate,Halal
Potassium Sorbate,Halal
Calcium Sorbate,Halal
Benzoic Acid,Halal
Sodium Benzoate,Halal
Potassium Benzoate,Halal
Calcium Benzoate,Halal
Ethyl 4-hydroxybenzoate,Halal
Ethyl 4-hydroxybenzoate,Halal
Sodium Salt,Halal
Propyl 4- hydroxybenzoate,Halal
Propyl 4-hydroxybenzoate,Halal
Methyl 4- hydroxybenzoate,Halal
Sulphur Dioxide,Halal
Sodium Sulphite,Halal
Sodium Hydrogen Sulphite,Halal
Sodium Metabisulphite,Halal
Potassium Metabisulphite,Halal
Sodium Sulfite,Halal
Calcium Sulphite,Halal
Calcium Hydrogen Sulphite,Halal
Potassium Hydrogen Sulphite,Halal
Biphenyl / Diphenyl,Halal
2-Hydroxybiphenyl,Halal
Sodium Biphenyl-2-yl Oxide,Halal
2-(Thiazol-4-yl) Benzimidazole,Halal
Nisin,Halal
Natamycin,Halal
Formic Acid,Halal
Sodium Formate,Halal
Calcium Formate,Halal
Hexamine,Halal
Formaldehyde,Halal
Dimethyl Dicarbonate,Halal
Potassium Nitrate,Halal
Sodium Nitrite,Halal
Sodium Nitrate,Halal
Potassium Nitrate(Saltpetre),Haram
Acetic Acid,Halal
Potassium Acetate,Halal
Sodium Acetate,Halal
Calcium Acetate,Halal
Ammonium Acetate,Halal
Lactic Acid,Halal
Propionic Acid,Halal
Sodium Propionate,Halal
Calcium Propionate,Halal
Potassium Propionate,Halal
Boric Acid,Halal
Sodium Tetraborate,Halal
Carbon Dioxide,Haram
Malic Acid,Halal
Fumaric Acid,Halal
L-Ascorbic Acid (Vitamin C),Halal
Sodium-L-Ascorbate,Halal
Calcium-L-Ascorbate,Halal
Potassium Ascorbate,Halal
Ascorbyl Palmitate,Halal
Natural Extracts rich in Tocopherols,Halal
Synthetic Alpha- Tocopherol,Halal
Synthetic Gamma- Tocopherol,Halal
Synthetic Delta- Tocopherol,Halal
Propyl Gallate,Halal
Octyl Gallate,Halal
Dodecyl Gallate,Halal
Erythorbic Acid,Halal
Sodium Erythorbate,Halal
Erythorbin Acid,Halal
Sodium Erythorbin,Halal
tert-Butylhydroxyquinone,Halal
Butylated Hydroxyanisole (BHA),Halal
Butylated Hydroxytoluene (BHT),Halal
Lecithin,Halal
Sodium Lactate,Halal
Potassium Lactate,Halal
Calcium Lactate,Halal
Magnesium Lactate,Halal
Citric Acid,Halal
Sodium Citrates,Halal
Sodium Dihydrogen Citrate,Halal
Disodium Citrate,Halal
Trisodium Citrate,Halal
Potassium Citrates,Halal
Calcium Citrates,Halal
Tartaric Acid,Haram
Sodium Tartrates,Haram
Potassium Tartrates (Cream of Tartar),Haram
Potassium Sodium Tartrates,Haram
Orthophosphoric Acid,Halal
Sodium Phosphates,Halal
diSodium hydrogen orthophosphate,Halal
triSodium hydrogen orthophosphate,Halal
Potassium Phosphates,Halal
DiPotassium hydrogen orthophosphate,Halal
TriPotassium orthophosphate,Halal
Calcium Phosphates,Halal
Calcium Hydrogen Orthophosphate,Halal
triCalcium diorthophosphate,Halal
Monomagnesium Phosphate,Halal
Sodium Malate,Halal
Potassium Malate,Halal
Calcium Malate,Halal
Metataric Acid,Haram
Calcium Tartrate,Haram
Adipic Acid,Halal
Sodium Adipate,Halal
Potassium Adipate,Halal
Succinic Acid,Halal
Sodium Fumarate,Halal
Potassium Fumarate,Halal
Calcium Fumarate,Halal
"1,4-Heptonolactone",Halal
Nicotinic Acid,Halal
Triammonium Citrate,Halal
Ammonium Ferric Citrate,Halal
Calcium Disodium EDTA,Halal
Alginic Acid,Halal
Sodium Alginate,Halal
Potassium Alginate,Halal
Ammonium Alginate,Halal
Calcium Alginate,Halal
"Propane-1,2-Diol Alginate",Halal
Agar,Halal
Carrageenan,Halal
Processed Eucheuma Seaweed,Halal
Locust Bean Gum (Carob Gum),Halal
Guar Gum,Halal
Tragacanth,Halal
Gum Acacia (Gum Arabic),Halal
Xanthan Gum,Halal
Karaya Gum,Halal
Tara Gum,Halal
Gellan gum,Halal
Sorbitol,Halal
Sorbitol Syrup,Halal
Mannitol,Halal
Glycerol,Haram
Konjac gum,Halal
Soyabean Hemicellulose,Halal
Polyoxyethane (8) Stearate,Haram
Polyoxyethane (40) Stearate,Haram
Polyoxyethane (20) Sorbitan / Polysorbate 20,Halal
Polyoxyethane (20),Haram
Polyoxyethane (20) Sorbitan Monopalmitate / Polysorbate 40,Halal
Polyoxyethane (20) Sorbitan Monostearate / Polysorbate 60,Haram
Polyoxyethane (20) Sorbitan Tristearate / Polysorbate 65,Haram
Pectin,Halal
Amidated Pectin,Haram
Culture,Halal
Emulsifier YN,Haram
Sucrose Acetate Isobutyrate,Halal
Glycerol Esters of Wood Rosin,Haram
Sodium and Potassium Phosphates and Polyphosphates,Halal
pentaSodium Triphosphate,Halal
Sodium Polyphosphates,Halal
Tetrapotassium Pyrophosphate,Halal
Tetrapotassium Pyrophosphate,Halal
Triphosphates,Halal
Beta-cyclodextrin,Halal
Microcrystalline / Powdered Cellulose,Halal
Methylcellulose,Halal
Ethyl Cellulose,Halal
Hydroxypropylcellulose,Halal
Hydroxypropyl- Methylcellulose,Halal
Ethylmethylcellulose,Halal
"Carboxymethylcellulose, Sodium Salt",Halal
Ethylhydroxyethyl Cellulose,Halal
Crosslinked Sodium,Halal
Enzymetically Hydrolysed Carboxymethyl Cellulose,Halal
"Sodium, Potassium and Calcium Salts of Fatty Acids",Haram
Magnesium Salts of Fatty Acids,Haram
Mono-and Diglycerides of Fatty Acids,Haram
Various Esters of Mono- and Diglycerides of Fatty Acids,Haram
Lactoglycerides,Haram
Citroglycerides,Haram
Tartaric acid glycerol esters,Haram
Acetyltartaric acid glycerol esters,Haram
Mixed Acetic & Tartaric Acid Esters of Mono & Digl,Haram
Sucrose Esters of Fatty Acids,Haram
Sucroglycerides,Haram
Polyglycerol Esters of Fatty Acids,Haram
Polyglycerol Esters of Polycondensed Esters of Caster Oil,Haram
"Propane-1,2-Diol Esters of Fatty Acids",Haram
"Lactylated Fatty Acid Esters of Glycerol and Propane-1,2-Diol",Haram
Thermally oxidized Soya Bean Oil interacted with M,Haram
Sodium Stearoyl-2- Lactylate,Haram
Calcium Stearoyl-2- Lactylate,Haram
Stearyl Tartrate,Haram
Sorbitan Monostearate,Haram
Sorbitan Tristearate,Haram
Sorbitan Monolaurate,Halal
Sorbitan Mono-oleate,Haram
Sorbitan Monopalmitate,Halal
Sorbitan,Haram
Sodium Carbonate / Sodium Bicarbonate,Halal
Potassium Carbonate,Halal
Ammonium Carbonate,Halal
Magnesium Carbonate,Halal
Hydrochloric Acid,Halal
Potassium Chloride,Halal
Calcium Chloride,Halal
Ammonium Chloride,Halal
Magnesium Chloride,Halal
Stannous Chloride,Halal
Sulphuric Acid,Halal
Sodium Sulphate,Halal
Potassium Sulphate,Halal
Calcium Sulphate,Halal
Ammonium Sulphate,Halal
Magnesium Sulphate,Halal
Copper (II) Sulphate,Halal
Aluminium Sulphate,Halal
Aluminium Sodium Sulphate,Halal
Aluminium Potassium Sulphate,Halal
Aluminium Ammonium Sulphate,Halal
Sodium Hydroxide,Halal
Potassium Hydroxide,Halal
Calcium Hydroxide,Halal
Ammonium Hydroxide,Halal
Magnesium Hydroxide,Halal
Calcium Oxide,Halal
Magnesium Oxide,Halal
Sodium Ferrocyanide,Halal
Potassium Ferrocyanide,Halal
Calcium Ferrocyanide,Halal
Dicalcium Ferrocyanide,Halal
Sodium Aluminium Phosphate,Halal
Edible Bone Phosphate (Bone-Meal),Haram
Calcium Sodium Polyphosphate,Halal
Calcium Polyphosphates,Halal
Ammonium Polyphosphates,Halal
Sodium Silicate,Halal
Silicon Dioxide (Silica Salt),Halal
Calcium Silicate,Halal
Magnesium Silicate,Halal
Magnesium Silicate / Magnesium Trisilicate (Talc),Halal
Aluminium Sodium Silicate,Halal
Pottasium Aluminium Silicate,Halal
Aluminium Calcium Silicate,Halal
Bentonite,Halal
Kaolin (Aluminium Silicate),Halal
Stearic Acid,Haram
Magnesium Stearate,Haram
Gluconic Acid,Halal
Glucono Delta-Lactone,Halal
Sodium Gluconate,Halal
Potassium Gluconate,Halal
Calcium Gluconate,Halal
Ferrous Gluconate,Halal
Ferrous Lactate,Halal
4-Hexylresorcinol,Halal
L-Glutamic Acid,Halal
Monosodium Glutamate (MSG),Halal
Monopotassium Glutamate,Halal
Calcium Glutamate,Halal
Monoammonium Glutamate,Halal
Magnesium Diglutamate,Halal
Guanylic acid,Halal
Sodium Guanylate,Halal
Dipotassium Guanylate,Halal
Calcium Guanylate,Halal
Inosinic Acid,Haram
Sodium 5-Inosinate,Haram
Sodium 5-Inosinate,Haram
Calcium Inosinate,Haram
Calcium 5-ribonucleotides,Haram
Sodium5-Ribonucleotide,Haram
Maltol,Halal
Ethyl Maltol,Halal
Glycine & its Sodium Salt,Haram
Zinc Acetate,Halal
Dimethylpolysiloxane,Halal
Beeswax,Halal
Candelilla Wax,Halal
Carnauba Wax,Halal
Shellac,Halal
Mineral Hydrocarbons,Halal
Mineral Oil,Halal
Gum Benzoic,Halal
Refined Microcrystalline Wax,Halal
Rice Bran Wax,Halal
L-Cysteine,Haram
Montanic acid esters,Halal
Lanolin,Halal
Oxidised Polyethylene Wax,Halal
Esters of Colophony,Haram
L-Cysteine Hydrochloride,Haram
L-Cystine,Haram
Potassium Persulphate,Halal
Ammonium Persulphate,Halal
Potassium Bromate,Halal
Chlorine,Halal
Chlorine Dioxide,Halal
Azodicarbonamide,Halal
Carbamide,Halal
Benzoyl Peroxide,Halal
Calcium Peroxide,Halal
Argon,Halal
Helium,Halal
Dichlorodifluoromethane,Halal
Nitrogen,Halal
Nitrous Oxide,Halal
Butane,Halal
Isobutane,Halal
Propane,Halal
Oxygen,Halal
Hydrogen,Halal
Acesulfame K,Halal
Aspartame,Halal
Cylamic Acid,Halal
Calcium Cyclamate,Halal
Isomalt,Halal
Saccharin and its Salts,Halal
Sucralose,Halal
Thaumatin,Halal
Neohesperidine DihydroChalcone,Halal
Salt of Aspartame- Acesulfame,Halal
Maltitol,Halal
Maltitol Syrup,Halal
Lactitol,Halal
Xylitol,Halal
Erythritol,Halal
Quillaia Extract,Halal
Cholic Acid,Haram
Amylase,Halal
Protease,Haram
Invertase,Halal
Lysozyme,Halal
Polydextrose,Halal
Polyvinylpyrrolidone,Halal
Polyvinylpolypyrrolidone,Halal
Monostarch Phosphate,Halal
Dextrin,Halal
Modified Starch,Halal
Alkaline Modified Starch,Halal
Bleached Starch,Halal
Oxidised Starch,Halal
Enzyme Treated Starch,Haram
Phosphate,Haram
Distarch Phosphate,Haram
Phoshated Distarch Phosphate,Halal
Acetylated Distarch Phosphate,Halal
Acetylated Starch,Halal
Acetylated Starch,Halal
Acetylated Distarch Adipate,Halal
Acetylated Distarch Glycerol,Haram
Distarch Glycerine,Haram
Hydroxypropyl Starch,Halal
Hydroxy Propyl Distarch Glycerine,Haram
Hydroxypropyl Distarch Phosphate,Halal
Hydroxy Propyl Starch Glycerol,Haram
Starch Sodium Octenyl Succinate,Halal
Acetylated Oxidised Starch,Halal
Triethyl Citrate,Halal
Ethanol,Haram
Diacetate,Haram
Glyceryl Triacetate,Haram
Benzyl Alcohol,Halal
Propylene Glycol,Halal
